DPM2	CDK5
LOC541473	C4orf17
LOC541473	FSCN3
LOC541473	LOC100128977
LOC541473	C21orf49
LOC541473	LOC340074
LOC541473	FLJ21075
LOC541473	KCNA6
LOC541473	HDGFL1
LOC541473	LCN6
LOC541473	C18orf12
LOC541473	C9orf98
LOC541473	DEFB119
LOC541473	LOC100132894
LOC541473	ALOXE3
LOC541473	LOC202051
LOC541473	LOC100129098
LOC541473	HRG
LOC541473	ASB16
LOC541473	GAFA2
LOC541473	AQP2
LOC541473	LOC100131781
LOC541473	LOC257358
LOC541473	LOC253724
LOC541473	KIR3DX1
LOC541473	HNF1B
LOC541473	FKSG49
LOC541473	FLJ40288
LOC541473	APOA5
LOC541473	EPHA8
LOC541473	LOC145945
LOC541473	LOC387826
LOC541473	LOC100132005
LOC541473	DNM1P33
LOC541473	LOC340037
LOC541473	LOC283177
LOC541473	C20orf200
LOC541473	ESPNL
LOC541473	KRTAP4-5
LOC541473	AYP1p1
LOC541473	C3orf43
LOC541473	ASB12
LOC541473	LOC100129380
LOC541473	LMX1A
LOC541473	LOC100131303
LOC541473	HCN4
LOC541473	APOBEC2
LOC541473	FLJ39061
LOC541473	C6orf223
LOC541473	LOC100144597
LOC541473	LCE1E
LOC541473	LOC283692
LOC541473	CDYL2
LOC541473	CPNE6
LOC541473	ISM2
LOC541473	C9orf163
LOC541473	FAM81A
LOC541473	C21orf104
LOC541473	LOC100129129
LOC541473	GPR3
LOC541473	ARID1B
LOC541473	LOC147646
LOC541473	LOC441052
LOC541473	KRTAP13-1
LOC541473	CYP1A2
LOC541473	GPR52
LOC541473	LOC100131941
LOC541473	CABP4
LOC541473	IRG1
LOC541473	LOC338963
LOC541473	DYNLRB1
LOC541473	LOC339978
LOC541473	LOC149086
LOC541473	FLJ34651
LOC541473	GJD2
LOC541473	LOC285620
LOC541473	GJB4
LOC541473	DKFZp564N2472
LOC541473	LOC283033
LOC541473	GRIN2C
LOC541473	KIR2DL1
LOC541473	LOC100128003
LOC541473	CST8
LOC541473	ADAM21
LOC541473	ADRB3
LOC541473	HERC6
LOC541473	LOC284395
LOC541473	LOC284080
LOC541473	LOC157627
LOC541473	DKFZp547J222
LOC541473	LOC338588
LOC541473	IL28A
LOC541473	KIR2DL5A
LOC541473	C14orf176
LOC541473	LOC151484
LOC541473	LOC100129633
LOC541473	DGCR5
LOC541473	CRTAC1
LOC541473	FLJ46321
LOC541473	ENAM
LOC541473	HERC2P7
LOC541473	KCNS1
LOC541473	LOC389641
LOC541473	CDH22
LOC541473	LOC339666
LOC541473	C12orf51
LOC541473	C15orf50
LOC541473	LOC283914
LOC541473	LOC402779
LOC541473	LOC474358
LOC541473	CADM3
LOC541473	LOC100133686
LOC541473	C1orf222
LOC541473	C10orf67
LOC541473	DNAJC5G
LOC541473	KRTAP10-11
LOC541473	KIAA1751
LOC541473	LOC440602
LOC541473	LOC284669
LOC541473	ARR3
LOC541473	LOC283140
LOC541473	CFC1
LOC541473	FLJ13439
LOC541473	C3orf27
LOC541473	CALHM1
LOC541473	DLGAP2
LOC541473	CACNG2
LOC541473	LOC339166
LOC541473	LOC100144602
LOC541473	FAM71A
LOC541473	LOC145678
LOC541473	FLJ36208
LOC541473	GML
LOC541473	FLJ33065
LOC541473	LHX3
LOC541473	GATA1
LOC541473	LOC375010
LOC541473	C15orf49
LOC541473	ADAD1
LOC541473	EFR3B
LOC541473	LOC400794
LOC541473	LOC285194
LOC541473	AQP10
LOC541473	CHRNA2
LOC541473	KRTAP4-2
LOC541473	ASB15
LOC541473	CSF2
LOC541473	BSND
LOC541473	LOC284100
LOC541473	C7orf28A
LOC541473	AMZ1
LOC541473	LOC400620
LOC541473	D21S2088E
LOC541473	FAM182A
LOC541473	FAM166A
LOC541473	GNAO1
LOC541473	LOC440028
ERAL1	C17orf63
ERAL1	DHRS13
VPS4A	CHMP1A
LRRC41	FKBP1A
LRRC41	APH1A
LRRC41	EIF4G1
LRRC41	ARPC1A
LRRC41	ALKBH5
LRRC41	DDX3X
LRRC41	KCTD5
LRRC41	CANX
LRRC41	DNAJC14
LRRC41	ERI3
LOC400236	C11orf16
LOC400236	BRSK1
LOC400236	FAM57B
LOC400236	EPN1
LOC400236	DKFZp779M0652
LOC400236	CES4
LOC400236	CABP4
LOC400236	KCTD17
LOC400236	FAM186B
LOC400236	APOBEC3F
LOC400236	C3orf20
LOC400236	IL13
LOC400236	DLL3
LOC400236	ARHGAP23
LOC400236	KIAA1656
LOC400236	IHH
LOC400236	DBH
LOC400236	CYP2W1
LOC400236	HTR6
LOC400236	KCNJ5
LOC400236	FLJ22536
LOC400236	LOC100129633
LOC400236	IL34
LOC400236	CHRNE
LOC400236	LOC285191
LOC400236	KCNS1
LOC400236	AGAP2
LOC400236	GP1BB
LOC400236	C14orf115
LOC400236	LARGE
LOC400236	HRASLS2
LOC400236	GRK1
LOC400236	ARVCF
LOC400236	LOC221122
LOC400236	LOC100133686
LOC400236	LOC100128008
LOC400236	GGTLC2
LOC400236	DUX1
LOC400236	HDAC10
LOC400236	CDH15
LOC400236	KCNA6
LOC400236	LOC284669
LOC400236	FBXO44
LOC400236	GDF2
LOC400236	HRG
LOC400236	KLK4
LOC400236	FAM148C
LOC400236	EMID2
LOC400236	BCL6B
LOC400236	CCDC9
LOC400236	FGF17
LOC400236	ADAM11
LOC400236	KRTAP4-5
LOC400236	C1orf170
LOC400236	IGFALS
LOC400236	FUT5
LOC400236	KCNQ1DN
LOC400236	ANKRD53
LOC400236	DKFZp761P0212
LOC400236	C6orf223
LOC400236	CPNE6
LOC400236	FLJ12355
LOC400236	DAB2IP
LOC400236	DPF1
LOC400236	CAMKV
LOC400236	LOC283904
LOC400236	HPCAL4
LOC400236	HMX1
CXCR4	CD37
C9orf29	C21orf121
C9orf29	ACTRT2
C9orf29	AMZ1
C9orf29	ADIG
C9orf29	C21orf104
C9orf29	ADAM22
C9orf29	C21orf88
C9orf29	ANKRD53
C9orf29	C4orf17
C9orf29	APOBEC2
C9orf29	C8orf74
C9orf29	BSND
SALL1	KCNJ16
NCF4	CYBB
NCF4	LST1
NCF4	LAPTM5
NCF4	HCK
NCF4	FERMT3
NCF4	AIF1
NCF4	GIMAP4
NCF4	CD86
NCF4	HCST
NCF4	C1QA
NCF4	IL10RA
NCF4	LY96
NCF4	MPEG1
NCF4	CASP1
NCF4	ARRB2
NCF4	MPP1
NCF4	LOC648998
NCF4	CD163
NCF4	CD37
NCF4	C3AR1
NCF4	LPXN
NCF4	ARHGAP25
NCF4	C1QB
NCF4	LRMP
NCF4	ITGB2
NCF4	CTSS
NCF4	NCF2
NCF4	LILRB2
NCF4	C1orf162
NCF4	ARHGAP15
NCF4	C1QC
NCF4	BIN2
NCF4	CORO1A
NCF4	MS4A4A
NCF4	GPR65
NCF4	C10orf54
NCF4	EVI2B
NCF4	HLA-DMA
NCF4	CLEC4A
NCF4	CSF2RB
NCF4	GIMAP6
NCF4	COTL1
NCF4	EMP3
NCF4	C1orf38
NCF4	FAM78A
NCF4	CPVL
NCF4	MNDA
NCF4	CD4
NCF4	DOCK2
NCF4	LAIR1
NCF4	CD40
NCF4	GIMAP1
NCF4	GMFG
NCF4	MYO1F
NCF4	HCLS1
NCF4	LSP1
NCF4	MS4A6A
NCF4	AOAH
NCF4	FCER1G
NCF4	ARHGAP9
NCF4	CCR1
NCF4	IL2RG
NCF4	KIAA1949
NCF4	HLA-DMB
NCF4	CTSC
NCF4	ELMO1
MOSC1	KLB
MOSC1	KIAA1881
MOSC1	GYG2
MOSC1	GPD1
MOSC1	CIDEC
MOSC1	CIDEA
MOSC1	AQP7
SLC25A3	EIF4A1
SLC25A3	RPL6
SLC25A3	CS
SLC25A3	RAN
SLC25A3	RPLP0
SLC25A3	ATP5G3
SLC25A3	ATP5B
SLC25A3	MMADHC
SLC25A3	ANAPC5
OTOP2	BAI1
OTOP2	NCRNA00028
OTOP2	CCDC37
OTOP2	H1FOO
OTOP2	EPN1
OTOP2	CEMP1
OTOP2	MMP25
OTOP2	LOC284600
OTOP2	CES4
OTOP2	CEBPE
OTOP2	GLI4
OTOP2	KRT3
OTOP2	C22orf28
OTOP2	LOC100132273
OTOP2	ITGB1BP3
OTOP2	APOBEC3F
OTOP2	IL13
OTOP2	C2orf55
OTOP2	LOC340107
OTOP2	CRYGC
OTOP2	MPRIP
OTOP2	LOC390688
OTOP2	DSPP
OTOP2	LOC100128074
OTOP2	CD79B
OTOP2	BAHCC1
OTOP2	NTN3
OTOP2	NKX2-8
OTOP2	LOC100134081
OTOP2	CHRNB2
OTOP2	ARHGAP23
OTOP2	C22orf34
OTOP2	LRRC16B
OTOP2	IGHE
OTOP2	IHH
OTOP2	DBH
OTOP2	C16orf84
OTOP2	FAM125B
OTOP2	CYP2W1
OTOP2	ARMC5
OTOP2	C14orf68
OTOP2	MATN4
OTOP2	C10orf46
OTOP2	GJD4
OTOP2	FLJ22536
OTOP2	MAPK8IP3
OTOP2	MYBPC3
OTOP2	GSTTP1
OTOP2	LOC390705
OTOP2	DGCR6L
OTOP2	HAB1
OTOP2	MYLC2PL
OTOP2	LOC285191
OTOP2	MYADML2
OTOP2	GPR44
OTOP2	AGAP2
OTOP2	GP1BB
OTOP2	C14orf115
OTOP2	MGC44328
OTOP2	MAP6D1
OTOP2	NEU4
OTOP2	GRK1
OTOP2	CRYBB2
OTOP2	ODF3B
OTOP2	LOC645895
OTOP2	LOC728543
OTOP2	LOC100133686
OTOP2	LOC100128008
OTOP2	BIRC7
OTOP2	A4GALT
OTOP2	LOC642346
OTOP2	FAM148B
OTOP2	CDH15
OTOP2	C17orf55
OTOP2	C3orf58
OTOP2	CYTH3
OTOP2	APOC2
OTOP2	MAP1A
OTOP2	FBXO44
OTOP2	OR10H1
OTOP2	C11orf9
OTOP2	LOC399904
OTOP2	ALPPL2
OTOP2	LOC145694
OTOP2	ALPI
OTOP2	CDRT15
OTOP2	LOC554235
OTOP2	LHX4
OTOP2	CCDC88B
OTOP2	NYX
OTOP2	GLP1R
OTOP2	LOC442142
OTOP2	JSRP1
OTOP2	LOC100132618
OTOP2	C20orf181
OTOP2	EMID2
OTOP2	IGF2AS
OTOP2	FLJ23185
OTOP2	IL17RE
OTOP2	IQCF6
OTOP2	FGF17
OTOP2	MGC50722
OTOP2	ISYNA1
OTOP2	AVPR2
OTOP2	C1orf170
OTOP2	FUT5
OTOP2	ANKRD53
OTOP2	EVX1
OTOP2	MAG
OTOP2	HCN2
OTOP2	DKFZp761P0212
OTOP2	NPAS1
OTOP2	KAAG1
OTOP2	IQSEC2
OTOP2	OPRL1
OTOP2	IGSF9B
OTOP2	CPNE6
OTOP2	MLL4
OTOP2	C17orf72
OTOP2	HMX1
OTOP2	CCDC27
IRAK1	DKC1
ZNF646	NPB
ZNF646	C17orf59
ZNF646	FAM57B
ZNF646	EPN1
ZNF646	SNX26
ZNF646	MMP25
ZNF646	HGC6.3
ZNF646	CLCN1
ZNF646	TRAPPC2L
ZNF646	TCF15
ZNF646	LOC151300
ZNF646	CNTROB
ZNF646	S1PR2
ZNF646	IQCC
